nit,razon_social,supervisor,region,departamento_domicilio,ciudad_domicilio,ciiu,macrosector,ingresos_operacionales,ganancia_perdida,total_activos,total_pasivos,total_patrimonio,ano_de_corte,total_impuestos
800000118,EMPRESA SOCIAL DEL ESTADO HOSPITAL  DEPARTAMENTAL UNIVERSITARIO DEL QUINDIO SAN JUAN DE DIOS,SUPERSALUD,Eje Cafetero,QUINDIO,ARMENIA-QUINDIO,8610,SERVICIOS,0.11,0,0.21,0.01,0.21,2022,3307741.3566680006
800000276,AVICOLA EL MADROÑO SA,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,145,AGROPECUARIO,0.64,0.02,0.28,0.18,0.1,2022,1985692.4276840002
800000370,ESCANOGRAFIA S.A.,SUPERSALUD,Centro - Oriente,SANTANDER,FLORIDABLANCA-SANTANDER,8691,SERVICIOS,0.02,0,0.03,0.02,0.02,2022,1985692.4276840002
800000750,PETROSANTANDER COLOMBIA GMBH,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,610,MINERO,0.23,-0.01,0.63,0.27,0.36,2022,42415171.254237995
800000946,PROCTER & GAMBLE COLOMBIA LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4649,COMERCIO,1.42,0.03,0.69,0.42,0.27,2022,42415171.254237995
800001047,MAYA Y BEDOYA LTDA,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,4773,COMERCIO,0.02,0,0.01,0,0,2022,25103649.530394
800001075,AGROPECUARIA VARGAS VALLEJO Y CIA SAS - EN REORGANIZACION,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,126,AGROPECUARIO,0.02,0,0.06,0.04,0.02,2022,42415171.254237995
800001965,SEGURIDAD OMEGA LTDA,SUPERVIGILANCIA,Costa Pacífica,VALLE,CALI-VALLE,8010,SERVICIOS,0.1,0.01,0.02,0.01,0.01,2022,25103649.530394
800002030,COLSEIN SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,TOCANCIPA -CUNDINAMARCA,4659,COMERCIO,0.04,0.02,0.02,0,0.02,2022,42415171.254237995
800002143,GIMNASIO FONTANA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8530,SERVICIOS,0.03,0,0.04,0.01,0.04,2022,42415171.254237995
800002482,VARIADORES SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4659,COMERCIO,0.07,0.01,0.06,0.04,0.02,2022,12390714.682238001
800002784,LABORATORIOS VETERLAND LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2100,MANUFACTURA,0.03,0,0.02,0,0.01,2022,42415171.254237995
800002820,CONSTRUCTORA A CRUZ SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4112,CONSTRUCCIÓN,0.02,0,0.02,0.01,0.01,2022,42415171.254237995
800002942,ITELCA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6190,SERVICIOS,0.05,0,0.04,0.01,0.03,2022,42415171.254237995
800003215,VJ CARDIOSISTEMAS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4645,COMERCIO,0.02,0,0.02,0.01,0.01,2022,42415171.254237995
800003267,INTERGRAFIC DE OCCIDENTE SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,1811,MANUFACTURA,0.12,0.02,0.17,0.14,0.03,2022,25103649.530394003
800003367,SUMINISTROS INDUSTRIALES Y ASESORIAS SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,4774,COMERCIO,0.02,0,0.01,0.01,0.01,2022,23391888.622931007
800003454,MULTIJUEGOS S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,9321,SERVICIOS,0.02,0,0.02,0.01,0.01,2022,42415171.254237995
800003644,R&R LUBRICANTES SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ITAGUI-ANTIOQUIA,4732,COMERCIO,0.12,0.02,0.13,0.07,0.06,2022,12390714.682238001
800003675,DISEÑOS Y CONSTRUCCIONES S.A.S,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,4220,CONSTRUCCIÓN,0.2,0.01,0.13,0.09,0.04,2022,1985692.427684
800003765,VIRREY SOLIS IPS. S.A.,SUPERSALUD,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,8610,SERVICIOS,0.8,0.16,0.53,0.33,0.2,2022,12390714.682238001
800003781,VR INGENIERIA Y MERCADEO SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2513,MANUFACTURA,0.04,0,0.05,0.02,0.03,2022,42415171.254237995
800004048,FLORES EL ZORRO SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,EL-ROSAL-CUNDINAMARCA-CUNDINAMARCA,125,AGROPECUARIO,0.02,0,0.01,0.01,0,2022,42415171.254237995
800004228,SARY SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,LA-ESTRELLA -ANTIOQUIA,1081,MANUFACTURA,0.07,0.01,0.03,0.01,0.02,2022,12390714.682238001
800004254,INTEGRAL DE DISTRIBUCIONES Y SERVICIOS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4690,COMERCIO,0.02,0,0.01,0,0.01,2022,42415171.254237995
800004599,COMERCIALIZADORA MARDEN LTDA,SUPERSOCIEDADES,Costa Pacífica,VALLE,PALMIRA-VALLE,4669,COMERCIO,0.03,0,0.04,0.02,0.02,2022,25103649.530394003
800004800,IMPORTADORA CELESTE SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4530,COMERCIO,0.08,0,0.04,0.02,0.02,2022,12390714.682238001
800004865,POSTELECTRAS DISHIERROS S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,COPACABANA -ANTIOQUIA,2599,MANUFACTURA,0.04,0,0.01,0.01,0,2022,12390714.682238001
800005260,INDUSTRIAS INVERSIONES Y SERVICIOS DELRIO SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4690,COMERCIO,0.06,0.01,0.05,0.02,0.03,2022,42415171.254237995
800005311,PROELASTICOS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,1311,MANUFACTURA,0.03,0,0.02,0.01,0.01,2022,12390714.682238001
800005423,DE MODA SAS,SUPERSOCIEDADES,Eje Cafetero,RISARALDA,DOSQUEBRADAS-RISARALDA,4771,COMERCIO,0.11,0,0.05,0.03,0.01,2022,3307741.3566680006
800005736,QUINBERLAB SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4645,COMERCIO,0.06,-0,0.04,0.03,0.02,2022,42415171.254237995
800005972,ORBIDENTAL SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4773,COMERCIO,0.02,0,0.01,0,0,2022,42415171.254237995
800006150,EMPRESA COOPERATIVA DE SERVICIOS DE SALUD EMCOSALUD,SUPERSALUD,Otros,HUILA,NEIVA-HUILA,8621,SERVICIOS,0.07,0,0.11,0.06,0.06,2022,3869748.2255610004
800006509,COUNTRY SCAN LTDA,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8691,SERVICIOS,0.02,0,0.01,0,0.01,2022,42415171.254237995
800006583,RX SA,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,4669,COMERCIO,0.05,0,0.06,0.01,0.05,2022,25103649.530394
800006608,MIPKO CONSTRUCTORES S.A.S.,SUPERSOCIEDADES,Costa Atlántica,MAGDALENA,SANTA MARTA-MAGDALENA,4111,CONSTRUCCIÓN,0.03,0,0.12,0.08,0.03,2022,23391888.622931004
800006785,PEREA Y CIA SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,4312,CONSTRUCCIÓN,0.04,0.01,0.04,0.01,0.02,2022,25103649.530394003
800006850,E.S.E. HOSPITAL MARIO GAITAN YANGUAS DE SOACHA,SUPERSALUD,Bogotá - Cundinamarca,CUNDINAMARCA,SOACHA-CUNDINAMARCA,8610,SERVICIOS,0.06,-0,0.05,0.01,0.04,2022,42415171.254237995
800006911,WALTER BRIDGE Y CIA SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,9512,SERVICIOS,0.02,0,0.02,0.01,0.01,2022,12390714.682238001
800007122,COLEGAS SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,4511,COMERCIO,0.11,0,0.02,0.02,0.01,2022,25103649.530394003
800007193,SAPUGA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,126,AGROPECUARIO,0.15,0.02,0.14,0.05,0.09,2022,42415171.254237995
800007202,ALTALENE SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2229,MANUFACTURA,0.06,0,0.04,0.02,0.01,2022,42415171.254237995
800007355,LABORATORIOS AUROFARMA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,FUNZA -CUNDINAMARCA,2100,MANUFACTURA,0.07,0,0.03,0.02,0.01,2022,42415171.254237995
800007359,ALMACENES HJ SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4752,COMERCIO,0.02,0,0.01,0.01,0,2022,12390714.682238001
800007367,HIDROYUNDA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4390,CONSTRUCCIÓN,0.02,0,0.02,0.01,0.01,2022,42415171.254237995
800007447,CONSTRUCTORA CANAAN SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4112,CONSTRUCCIÓN,0.02,0,0.02,0.01,0.01,2022,42415171.254237995
800007455,INVERSIONES LLANO HERMOSO SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4111,CONSTRUCCIÓN,0.02,0,0.01,0.01,0.01,2022,42415171.254237995
800007813,VANTI S.A. E.S.P.,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,3520,SERVICIOS,3.37,0.27,1.82,1.23,0.59,2022,42415171.254237995
800007955,COMMERK SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,CANDELARIA-VALLE,4632,COMERCIO,0.64,0.04,0.33,0.21,0.13,2022,25103649.530394
800007983,DISTRIBUIDORA ELECTROJAPONES SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,4754,COMERCIO,0.02,0,0.01,0.01,0.01,2022,25103649.530394
800008151,ELECTRICOS IMPORTADOS SA EIMPSA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4690,COMERCIO,0.05,0,0.04,0.03,0.01,2022,42415171.254237995
800008307,AVINSA SAS,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,FLORIDABLANCA-SANTANDER,1011,MANUFACTURA,0.03,0,0.02,0,0.01,2022,1985692.427684
800008801,PALMERAS CARARABO S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,126,AGROPECUARIO,0.02,0,0.03,0.02,0.01,2022,42415171.254237995
800010668,AUTOSERVICIO EL PERDOMO SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4721,COMERCIO,0.08,0,0.05,0.01,0.04,2022,42415171.254237995
800010866,EXPERTOS SEGURIDAD LTDA,SUPERVIGILANCIA,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,8010,SERVICIOS,0.21,0,0.06,0.03,0.03,2022,12390714.682238001
800010950,COMPAÑIA PECUARIA AGRICOLA S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,121,AGROPECUARIO,0.02,0.01,0.03,0.01,0.02,2022,12390714.682238001
800011002,TECNAS S.A,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ITAGUI-ANTIOQUIA,1089,MANUFACTURA,0.18,0.01,0.13,0.08,0.05,2022,12390714.682238001
800011161,ALCIAUTOS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4511,COMERCIO,0.12,0,0.09,0.03,0.06,2022,42415171.254237995
800011170,RIMOPLASTICAS S.A.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,LA-ESTRELLA -ANTIOQUIA,2229,MANUFACTURA,0.06,0,0.04,0.03,0.01,2022,12390714.682238001
800011207,SUMINISTRO MATERIAS COLORANTES S.A.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,2011,MANUFACTURA,0.04,0,0.03,0.01,0.02,2022,12390714.682238001
800011651,INGENIERIA Y CONTRATOS SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4210,CONSTRUCCIÓN,0.03,-0,0.04,0.01,0.03,2022,12390714.682238001
800011951,CENTRO NACIONAL DE CONSULTORIA S.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,7320,SERVICIOS,0.04,0,0.01,0.01,0.01,2022,42415171.254237995
800011987,TENARIS TUBOCARIBE LTDA,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,TURBACO-BOLIVAR,2592,MANUFACTURA,2.21,0.3,2.54,1.23,1.31,2022,23391888.622931004
800012080,MUNDIAL DE FILTROS Y ACEITES SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,4530,COMERCIO,0.03,0,0.02,0.01,0.01,2022,25103649.530394
800012189,CLINICA SAN JOSE DE CUCUTA SA,SUPERSALUD,Centro - Oriente,NORTE DE SANTANDER,CUCUTA-NORTE DE SANTANDER,8610,SERVICIOS,0.13,0.02,0.15,0.03,0.12,2022,1985692.4276839998
800012375,QBCO S.A.S.,SUPERSOCIEDADES,Costa Pacífica,VALLE,BUGA-VALLE,1032,MANUFACTURA,0.66,0.02,0.53,0.4,0.13,2022,25103649.530394
800012778,DORICOLOR INDULIT SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,SABANETA -ANTIOQUIA,3290,MANUFACTURA,0.07,0,0.06,0.04,0.02,2022,12390714.682238001
800012817,MOLI S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4645,COMERCIO,0.03,0,0.01,0,0.01,2022,12390714.682238001
800012833,TODO ASEO SAS,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,4719,COMERCIO,0.04,0,0.02,0.02,0,2022,1985692.4276840002
800012870,TRILLADORAS DE LAS COOPERATIVAS DE CAFICULTORES DE CALDAS LTDA,SUPERSOCIEDADES,Eje Cafetero,CALDAS,ANSERMA-CALDAS,1061,MANUFACTURA,0.04,-0,0.01,0,0,2022,3307741.3566680006
800012888,SOFAN INGENIERIA SAS,SUPERSOCIEDADES,Costa Atlántica,CORDOBA,MONTERIA-CORDOBA,4290,CONSTRUCCIÓN,0.04,0,0.03,0.01,0.02,2022,23391888.622931004
800013455,MICROFERTISA S A S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2012,MANUFACTURA,0.04,0,0.03,0.02,0.01,2022,42415171.254237995
800013638,FLORES SAGARO SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,125,AGROPECUARIO,0.05,0.01,0.06,0.01,0.04,2022,42415171.254237995
800013728,SUPER AGRO SA,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,4653,COMERCIO,0.02,0,0,0,0,2022,1985692.4276840002
800013736,PALMERAS DE YARIMA S.A.,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,126,AGROPECUARIO,0.09,0.03,0.18,0.06,0.11,2022,1985692.4276839998
800013834,LABORATORIOS LA SANTÉ S.N,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2100,MANUFACTURA,0.3,0.02,0.48,0.35,0.13,2022,42415171.254237995
800013879,ECOMARKET SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4719,COMERCIO,0.02,0,0.02,0.01,0.01,2022,42415171.254237995
800014096,CONFECCIONES TOVAL SA EN CONCORDATO,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,1392,MANUFACTURA,0.02,0,0.01,0.02,-0,2022,12390714.682238001
800014107,YAMAVALLE LTDA,SUPERSOCIEDADES,Costa Pacífica,VALLE,TULUA-VALLE,4541,COMERCIO,0.02,0,0,0,0,2022,25103649.530394
800014246,ESTYMA ESTUDIOS Y MANEJOS S.A.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4210,CONSTRUCCIÓN,0.26,-0,0.2,0.14,0.06,2022,12390714.682238001
800014338,LABORATORIOS NATURAL FRESHLY INFABO SAS INSTITUO FARMACOLOGICO BOTANICO SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA -CUNDINAMARCA,2100,MANUFACTURA,0.12,0.02,0.11,0.03,0.08,2022,42415171.254237995
800014574,DUCON S. A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,SABANETA -ANTIOQUIA,3110,MANUFACTURA,0.02,0,0.02,0.01,0.01,2022,12390714.682238001
800014875,TELESENTINEL LTDA,SUPERVIGILANCIA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8020,SERVICIOS,0.03,0,0.01,0.01,0,2022,42415171.254237995
800014918,E.S.E. HOSPITAL UNIVERSITARIO ERASMO MEOZ,SUPERSALUD,Centro - Oriente,NORTE DE SANTANDER,CUCUTA-NORTE DE SANTANDER,8610,SERVICIOS,0.26,0,0.52,0.04,0.48,2022,1985692.4276840002
800015583,COLSOF SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA -CUNDINAMARCA,4741,COMERCIO,0.32,0.01,0.13,0.07,0.06,2022,42415171.254237995
800015603,QUIMICA BASICA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,2011,MANUFACTURA,0.06,0,0.02,0.01,0.01,2022,12390714.682238001
800015615,MARPICO S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4632,COMERCIO,0.13,0.02,0.16,0.05,0.1,2022,42415171.254237995
800016505,INPARME SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,126,AGROPECUARIO,0.04,0.01,0.04,0.01,0.03,2022,42415171.254237995
800017308,CLINICA LA SABANA S.A,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8621,SERVICIOS,0.02,-0,0.03,0.01,0.01,2022,42415171.254237995
800017873,MOSEL SAS,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,4111,CONSTRUCCIÓN,0.03,0,0.02,0.01,0.01,2022,23391888.622931004
800017935,INVERSIONES LAURELCO S A S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6613,SERVICIOS,0.03,0.03,0.16,0.01,0.15,2022,42415171.254237995
800017936,INVERSIONES CERALCO S A S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6613,SERVICIOS,0.03,0.03,0.16,0.01,0.15,2022,42415171.254237995
800018181,SERRANO LIEVANO Y CIA S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6810,SERVICIOS,0.02,0,0.12,0.03,0.09,2022,42415171.254237995
800018359,BEL STAR S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,TOCANCIPA -CUNDINAMARCA,2023,MANUFACTURA,1.52,0.03,1.08,0.65,0.43,2022,42415171.254237995
800018488,AGROQUIMICOS ARROCEROS DE COLOMBIA SA,SUPERSOCIEDADES,Otros,TOLIMA,ESPINAL-TOLIMA,2021,MANUFACTURA,0.04,0,0.07,0.03,0.04,2022,3869748.225561001
800018856,AQUALAB SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4664,COMERCIO,0.03,0,0.02,0.01,0.01,2022,42415171.254237995
800019102,INTERASESORES ASESORES EMPRESARIALES ADMINISTRATIVOS SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8530,SERVICIOS,0.06,0,0.11,0.01,0.11,2022,42415171.254237995
800019437,CORRUGADOS DEL DARIEN S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,1702,MANUFACTURA,0.1,0.01,0.11,0.05,0.06,2022,12390714.682238001
800019615,SYMRISE LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2029,MANUFACTURA,0.27,0.04,0.26,0.06,0.2,2022,42415171.254237995
800019856,LA CASA DEL MEDICO SAS,SUPERSOCIEDADES,Costa Atlántica,CORDOBA,MONTERIA-CORDOBA,4659,COMERCIO,0.04,0,0.03,0.01,0.02,2022,23391888.622931
800020023,HOTEL SANTA CLARA S.A.,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,5511,SERVICIOS,0.09,0.02,0.08,0.04,0.05,2022,23391888.622931
800020220,AGROINDUSTRIAL MOLINO SONORA AP SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1051,MANUFACTURA,0.7,0.02,0.46,0.36,0.1,2022,42415171.254237995
800020256,FLORES LA CONCHITA LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,125,AGROPECUARIO,0.02,0,0.02,0.01,0.01,2022,42415171.254237995
800020274,C.I. CULTIVOS MIRAMONTE S.A.S. EN REORGANIZACION,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,125,AGROPECUARIO,0.04,-0,0.03,0.04,-0,2022,42415171.254237995
800020706,NALSANI SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1513,MANUFACTURA,0.7,0.08,0.52,0.36,0.15,2022,42415171.254237995
800020719,PROSERVIS TEMPORALES SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,7420,SERVICIOS,0.12,0,0.02,0.01,0,2022,25103649.530394003
800020762,INVERSORA ANAGRAMA INVERANAGRAMA S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6499,SERVICIOS,0.26,0.26,2.64,0,2.64,2022,42415171.254237995
800020772,EMPAQUETADURAS DARROW S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,2930,MANUFACTURA,0.03,0,0.03,0.02,0.01,2022,12390714.682238001
800020817,CANTILLANA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8299,SERVICIOS,0.03,0.02,0.03,0.01,0.03,2022,42415171.254237995
800021013,CENTRO ACEROS S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,GUARNE -ANTIOQUIA,2821,MANUFACTURA,0.08,0.01,0.06,0.04,0.02,2022,12390714.682238001
800021137,AGRÍCOLA SARA PALMA S.A.SD,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,122,AGROPECUARIO,0.17,-0.01,0.24,0.08,0.16,2022,12390714.682238001
800021308,DRUMMOND LTD,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,510,MINERO,15.27,2.16,14.27,6.34,7.93,2022,42415171.254237995
800021596,QUANTUM S.A.S.,SUPERSOCIEDADES,Costa Pacífica,VALLE,PALMIRA-VALLE,124,AGROPECUARIO,0.02,0.01,0.1,0.01,0.09,2022,25103649.530394
800021599,COLIBRI FLOWERS SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,FACATATIVA-CUNDINAMARCA,125,AGROPECUARIO,0.1,0.01,0.1,0.05,0.05,2022,42415171.254237995
800022051,AGROPECUARIA LOS CUNAS S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,122,AGROPECUARIO,0.02,-0,0.06,0.03,0.03,2022,12390714.682238001
800022076,CORPORACION EDUCATIVA INDOAMERICANA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8551,SERVICIOS,0.02,0,0.03,0.02,0.01,2022,42415171.254237995
800022115,CONSTRUCTORA JEMUR SAS,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,4111,CONSTRUCCIÓN,0.03,0,0.04,0.02,0.02,2022,23391888.622931
800022127,"ESTUDIOS, PROYECTOS E INVERSIONES DE LOS ANDES S.A.S.",SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8299,SERVICIOS,0.06,-0.05,1.19,0.24,0.95,2022,42415171.254237995
800022371,COLOMBIANA DE EXTRUSION S.A. EXTRUCOL,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,2221,MANUFACTURA,0.16,0.01,0.1,0.06,0.04,2022,1985692.427684
