nit,razon_social,supervisor,region,departamento_domicilio,ciudad_domicilio,ciiu,macrosector,ingresos_operacionales,ganancia_perdida,total_activos,total_pasivos,total_patrimonio,ano_de_corte,total_impuestos
800202447,RAFAEL ESPINOSA G Y CIA SAS,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,5223,SERVICIOS,0.02,0,0.01,0.01,0.01,2022,23391888.622931004
800202510,BOOKS AND BOOKS LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4761,COMERCIO,0.03,0,0.06,0.03,0.03,2022,42415171.254237995
800202909,LONGPORT COLOMBIA LTDA,SUPERVIGILANCIA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8010,SERVICIOS,0.03,0,0.01,0.01,0,2022,42415171.254237995
800203210,JAM INTERNACIONAL S.A.S.,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,1910,MANUFACTURA,0.07,0,0.04,0.03,0.01,2022,23391888.622931004
800203320,SIMBA SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,6613,SERVICIOS,0.13,0.11,0.81,0.1,0.71,2022,23391888.622931004
800203342,GRUCON SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4290,CONSTRUCCIÓN,0.04,0,0.01,0,0.01,2022,12390714.682238001
800203758,CHT COLOMBIANA LTDA.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,SABANETA -ANTIOQUIA,4690,COMERCIO,0.09,0.01,0.07,0.02,0.04,2022,12390714.682238001
800203984,SIMONIZ SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2029,MANUFACTURA,0.14,-0,0.12,0.08,0.04,2022,42415171.254237995
800204153,E.S.E. HOSPITAL SAN VICENTE DE PAUL DE LORICA,SUPERSALUD,Costa Atlántica,CORDOBA,LORICA-CORDOBA,8610,SERVICIOS,0.04,0,0.06,0.01,0.06,2022,23391888.622931
800204226,PIC COLOMBIA S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,144,AGROPECUARIO,0.17,0.03,0.12,0.06,0.06,2022,12390714.682238001
800204388,LABQUIFAR LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4645,COMERCIO,0.04,0,0.03,0.01,0.02,2022,42415171.254237995
800204462,EQUIRENT S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6810,SERVICIOS,0.1,0.06,0.57,0.16,0.41,2022,42415171.254237995
